64.8: 2.0 2.0 (1284), -90 (9) 333 207
64.9: 2.0 2.0 (894), -91 (8) 332 208
65.0: 2.0 2.0 (742), -91 (9) 332 208
65.1: 2.0 2.0 (727), -91 (10) 332 208
65.2: 2.0 2.0 (593), -92 (10) 332 208
65.3: 2.0 2.0 (578), -92 (10) 332 208
65.4: 2.0 2.0 (527), -92 (8) 332 208
65.5: 2.0 2.0 (425), -91 (9) 333 207
65.6: 2.0 2.0 (431), -91 (10) 333 207
65.7: 2.0 2.0 (449), -91 (11) 333 207
65.8: 2.0 2.0 (299), -91 (11) 333 207
65.9: 2.0 2.1 (531), -90 (10) 333 207
66.0: 2.0 2.0 (271), -91 (10) 333 207
66.1: 2.0 2.0 (432), -92 (11) 333 207
66.2: 2.0 2.0 (232), -90 (11) 333 207
66.3: 2.0 2.0 (234), -94 (11) 332 208
66.4: 2.0 2.0 (222), -95 (12) 332 208
66.5: 2.0 2.0 (212), -94 (11) 332 208
66.6: 2.0 2.0 (172), -96 (12) 331 209
66.7: 2.0 2.0 (152), -94 (10) 332 208
66.8: 2.0 2.0 (150), -95 (11) 332 208
66.9: 2.0 2.0 (139), -95 (10) 332 208
67.0: 2.0 2.0 (192), -94 (10) 332 208
67.1: 2.0 2.0 (142), -96 (11) 332 208
67.2: 2.0 2.0 (146), -97 (12) 331 209
67.3: 2.0 2.0 (150), -95 (11) 332 208
67.4: 2.0 2.0 (140), -95 (10) 332 208
67.5: 2.0 2.0 (127), -94 (9) 333 207
67.6: 2.0 2.0 (120), -96 (11) 332 208
67.7: 2.0 2.0 (102), -95 (11) 332 208
67.8: 2.0 2.0 (121), -94 (11) 333 207
67.9: 2.0 2.0 (150), -94 (10) 333 207
68.0: 2.0 2.0 (120), -95 (12) 332 208
68.1: 2.0 2.0 (120), -95 (11) 332 208
68.2: 2.0 2.0 (122), -94 (10) 333 207
68.3: 2.0 2.0 (131), -96 (12) 332 208
68.4: 2.0 2.0 (106), -94 (9) 333 207
68.5: 2.0 2.0 (154), -93 (9) 333 207
68.6: 2.0 2.0 (141), -93 (9) 333 207
68.7: 2.0 2.0 (141), -93 (9) 333 207
68.8: 2.0 2.0 (161), -92 (7) 334 206
68.9: 2.0 2.0 (115), -92 (9) 334 206
69.0: 2.0 2.0 (166), -92 (6) 334 206
69.1: 2.0 2.0 (183), -91 (8) 334 206
69.2: 2.0 2.0 (155), -91 (8) 334 206
69.3: 2.0 2.0 (124), -94 (10) 333 207
69.4: 2.0 2.0 (98), -90 (5) 334 206
69.5: 2.0 2.0 (90), -91 (10) 334 206
69.6: 2.0 2.0 (77), -89 (9) 335 205
69.7: 2.0 2.0 (124), -89 (6) 335 205
69.8: 2.0 2.0 (153), -88 (8) 335 205
69.9: 2.0 2.0 (169), -86 (10) 336 204
70.0: 2.0 2.0 (124), -88 (7) 335 205
70.1: 2.0 2.0 (132), -89 (3) 335 205
70.2: 2.0 2.0 (127), -88 (8) 335 205
70.3: 2.0 2.0 (107), -85 (10) 336 204
70.4: 2.0 2.0 (81), -88 (8) 335 205
88.8: 3.0 4.4 (639873), 39 (0) 8 172
88.9: 2.0 2.4 (273), 19 (17) 4 176
89.5: 2.0 2.0 (852), 1 (5) 0 180
92.3: 4.4 2.0 (67), 36 (15) 7 173
92.4: 7.0 2.8 (629394), 33 (12) 7 173
92.5: 4.5 2.0 (77), 23 (14) 5 175
94.8: 2.0 4.6 (270), 3 (11) 0 180
94.9: 2.8 7.0 (638724), 3 (7) 0 180
95.0: 2.0 4.0 (419), 0 (9) 0 180
95.9: 2.0 2.0 (377), 0 (3) 0 180
96.9: 2.0 2.0 (6), -90 (0) 342 198 68 112
97.0: 2.0 2.7 (100166), -81 (13) 344 196 74 106
99.0: 2.0 3.0 (2), 18 (0) 3 177
99.1: 2.0 4.9 (98969), 37 (16) 7 173
101.3: 2.0 2.2 (8), -103 (13) 340 200 58 122
101.4: 2.9 3.9 (639910), -103 (10) 340 200 58 122
101.5: 2.0 2.1 (38), -99 (13) 341 199 59 121
104.2: 2.0 8.6 (22224), -4 (10) 359 181
104.8: 2.0 2.6 (846), -26 (15) 355 185
105.1: 2.0 3.3 (61), -84 (9) 345 195 61 119
105.2: 2.0 3.9 (575373), -71 (0) 347 193 66 114
106.6: 2.0 3.5 (37), -69 (15) 348 192 66 114
106.7: 2.0 5.2 (360886), -72 (17) 347 193 64 116
106.8: 2.0 5.5 (351), -74 (16) 347 193 63 117
106.9: 2.7 13.2 (23767), -65 (11) 348 192 67 113
107.0: 6.6 32.6 (639357), -66 (5) 348 192 66 114
107.1: 3.1 12.9 (24453), -63 (10) 349 191 68 112
107.2: 2.0 6.2 (446), -60 (15) 349 191 69 111
